No.,Serial,Description,Hardware,Version,Contact,Location,"Uptime (second)"
cdheb702a,SSI144200DL,"Cisco NX-OS(tm) n5000, Software (n5000-uk9), Version 5.2(1)N1(9a), RELEASE SOFTWARE Copyright (c) 2002-2011 by Cisco Systems, Inc. Device Manager Version 6.1(1),  Compiled 4/7/2016 5:00:00",Nexus5548,5.2(1)N1(9a),who@where,19,13799376
cdheb702b,SSI1442000J,"Cisco NX-OS(tm) n5000, Software (n5000-uk9), Version 5.2(1)N1(9a), RELEASE SOFTWARE Copyright (c) 2002-2011 by Cisco Systems, Inc. Device Manager Version 6.1(1),  Compiled 4/7/2016 5:00:00",Nexus5548,5.2(1)N1(9a),who@where,19,24511680
fw-biz-croix,AB3809AA0045,"Juniper Networks, Inc. srx3600 internet router, kernel JUNOS 11.4R10.4 #0: 2013-12-17 23:15:46 UTC     builder@singlath:/volume/build/junos/11.4/release/11.4R10.4/obj-powerpc/bsd/kernels/JUNIPER-SRX/kernel Build date: 2013-12-17 22:51:53 UTC Copyright (c","node1 Juniper SRX 3600 services gateway",11.4R10.4,,1,34525928
fw-biz-marcq,,"Juniper Networks, Inc. srx3600 internet router, kernel JUNOS 11.4R10.4 #0: 2013-12-17 23:15:46 UTC     builder@singlath:/volume/build/junos/11.4/release/11.4R10.4/obj-powerpc/bsd/kernels/JUNIPER-SRX/kernel Build date: 2013-12-17 22:51:53 UTC Copyright (c","Juniper SRX3600",11.4R10.4,,1,35559973
fw-pri-croix,R201312001174,"Linux fw-pri-croix 2.6.18-92cpx86_64 #1 SMP Sun Dec 15 19:25:11 IST 2013 x86_64","Check Point 13500",R77.10,"3SI Btoc",2,34545274
fw-pri-mgt,,"Linux fw-pri-mgt 2.6.18-92cp #1 SMP Sun Dec 15 18:26:07 IST 2013 i686","Smart-1 25",R77.10,"3SI Btoc",2,27439467
fw-vpn-a,JN12378B5ADE,"SSG-350M version 6.3.0r16a.0 (SN: JN12378B5ADE, Firewall+VPN)",SSG-350M,6.3.0r16a.0,,4,13866276
fw-vpn-b,JN1237E45ADE,"SSG-350M version 6.3.0r16a.0 (SN: JN1237E45ADE, Firewall+VPN)",SSG-350M,6.3.0r16a.0,,2,56766024
fwmezzo-dc1,BH0512AA0004,"Juniper Networks, Inc. srx1400 internet router, kernel JUNOS 12.1X46-D35.1 #0: 2015-05-14 23:47:27 UTC     builder@dagmath.juniper.net:/volume/build/junos/12.1/service/12.1X46-D35.1/obj-powerpc/junos/bsd/kernels/JUNIPER-SRX/kernel Build date: 2015-05-15","node1 Juniper SRX 1400 services gateway",12.1X46-D35.1,,31,4801136
vpnssl-a,,"Juniper Networks,Inc,MAG-SM160,8.0R8.1 (build 33771)","Juniper MAG-SM160","8.0R8.1 (build 33771)",,29,76937602
vpnssl-b,,"Juniper Networks,Inc,MAG-SM160,8.0R8.1 (build 33771)","Juniper MAG-SM160","8.0R8.1 (build 33771)",,29,35559758
lb-lan-croix.si3si.int,f5-isad-juiw,"Linux lb-lan-croix.si3si.int 2.6.32-279.19.1.el6.f5.x86_64 #1 SMP Sun Feb 8 23:46:09 PST 2015 x86_64","BIG-IP 3600",11.5.1,"Customer Name <admin@customer.com>",9,77547364
lb-lan-marcq.si3si.int,f5-kkfc-ojap,"Linux lb-lan-marcq.si3si.int 2.6.32-279.19.1.el6.f5.x86_64 #1 SMP Sun Feb 8 23:46:09 PST 2015 x86_64","BIG-IP 3600",11.5.1,"Customer Name <admin@customer.com>",9,35560057
llb-croix.si3si.int,f5-ribn-lcde,"Linux llb-croix.si3si.int 2.6.32-358.23.2.el6.f5.x86_64 #1 SMP Thu Jun 18 16:24:51 PDT 2015 x86_64","BIG-IP 4000",11.6.0,"Customer Name <admin@customer.com>",9,66345730
llb-marcq.si3si.int,f5-zknl-cxdf,"Linux llb-marcq.si3si.int 2.6.32-358.23.2.el6.f5.x86_64 #1 SMP Thu Jun 18 16:24:51 PDT 2015 x86_64","BIG-IP 4000",11.6.0,"Customer Name <admin@customer.com>",9,35560002
